sample_code,tray,plant,photo_ID,desc,strain,cluster,half,note,date,plant_ID
185,T10,P10,163909,SW,1021/1022,C2,H,,19-Jun,T10-P10
185,T10,P10,163914,SP,1022,C1,H,,19-Jun,T10-P10
185,T10,P10,163854,SW,1022,C1,H,Re-culture,19-Jun,T10-P10
185,T10,P10,163849,MP,NG,C1,H,,19-Jun,T10-P10
185,T10,P10,163901,SW,NG,C1,H,,19-Jun,T10-P10
116,T10,P12,131452,LP,NG,C1,L,,31-May,T10-P12
116,T10,P12,131447,MW,NG,C1,L,,31-May,T10-P12
116,T10,P12,131459,MW,NG,C1,L,,31-May,T10-P12
116,T10,P12,131507,MW,NG,C1,L,,31-May,T10-P12
116,T10,P12,131437,SW,NG,C1,L,,31-May,T10-P12
156,T10,P14,124510,SW,NG,C1,H,,06-Jun,T10-P14
156,T10,P14,124504,VSW,NG,C1,H,,06-Jun,T10-P14
411,T10,P14,IMG_7425,MP,1021/1022,C2,L,,10-Aug,T10-P14
411,T10,P14,IMG_7426,MP,1021/1022,C1,L,,10-Aug,T10-P14
335,T10,P17,IMG_7177,MW,1022,C1,H,,,T10-P17
335,T10,P17,IMG_7178,SW,NG,C1,H,,,T10-P17
428,T10,P17,IMG_7498,MW,1021,C2,L,,,T10-P17
175,T10,P19,122707,LP,1022,C1,L,,16-Jun,T10-P19
175,T10,P19,122704,LW,NG,C1,L,,16-Jun,T10-P19
370,T10,P19,IMG_7408,SP,1022,C2,H,and MP,,T10-P19
370,T10,P19,IMG_7409,MW,1022,C1,H,,,T10-P19
370,T10,P19,IMG_7412,MW,1022,C1,H,,,T10-P19
370,T10,P19,IMG_7410,SW,NG,C1,H,,,T10-P19
370,T10,P19,IMG_7411,SW,NG,C1,H,,,T10-P19
476,T10,P19,IMG_7667,LW,1022,C1,L,,,T10-P19
476,T10,P19,IMG_7663,MW,1022,C1,L,,,T10-P19
476,T10,P19,IMG_7666,SP,1022,C1,L,,,T10-P19
476,T10,P19,IMG_7664,SP,NG,C1,L,,,T10-P19
476,T10,P19,IMG_7665,SW,NG,C1,L,,,T10-P19
76,T10,P2,122758,MP,1021/1022,C3,H,,25-May,T10-P2
76,T10,P2,122804,SW,NG,C1,H,,25-May,T10-P2
412,T10,P2,IMG_7430,MP,1021/1022,C2,L,,10-Aug,T10-P2
412,T10,P2,IMG_7431,LP,1022,C1,L,,10-Aug,T10-P2
412,T10,P2,IMG_7428,LW,1022,C1,L,,10-Aug,T10-P2
412,T10,P2,IMG_7429,MP,NG,C1,L,,10-Aug,T10-P2
412,T10,P2,IMG_7427,SW,NG,C1,L,,10-Aug,T10-P2
159,T10,P21,IMG_6895,SP,1021,C1,H,,13-Jun,T10-P21
159,T10,P21,IMG_6891,MP,1022,C1,H,,13-Jun,T10-P21
159,T10,P21,IMG_6892,MP,NG,C1,H,,13-Jun,T10-P21
159,T10,P21,IMG_6893,SP,NG,C1,H,,13-Jun,T10-P21
159,T10,P21,IMG_6894,SP,NG,C1,H,,13-Jun,T10-P21
506,T10,P21,IMG_7726,MW,1022,C1,H,,,T10-P21
506,T10,P21,IMG_7727,MW,1022,C1,H,,,T10-P21
506,T10,P21,IMG_7728,MW,1022,C1,H,,,T10-P21
506,T10,P21,IMG_7725,SW,NG,C1,H,,,T10-P21
506,T10,P21,IMG_7729,SW,NG,C1,H,,,T10-P21
490,T10,P21,153010,SP,1021,C1,L,,,T10-P21
490,T10,P21,153015,LW,1022,C1,L,,,T10-P21
490,T10,P21,153023,MW,1022,C1,L,,,T10-P21
490,T10,P21,153027,MW,1022,C1,L,,,T10-P21
