batch,tray,plant,line,treat,leaf,shoot,tot_root,low_root,high_root,tot_nod,low_nod,high_nod,plant_ID,high_1021_plates,high_1022_plates,high_scored,low_1021_plates,low_1022_plates,low_scored
B1,T2,P8,276,one,5,0.0166,0.0183,0.0058,0.0125,4,3,1,T2-P8,1,0,1,0,4,4
B4,T7,P11,267,control,7,0.0462,0.0193,0.0121,0.0072,5,5,0,T7-P11,1,1,2,0,2,2
B8,T15,P21,267,one,3,0.0127,0.0045,0.0032,0.0013,5,3,2,T15-P21,1,2,3,0,1,1
B5,T10,P21,279,one,8,0.0323,0.0188,0.0123,0.0065,24,11,13,T10-P21,1,4,5,1,3,4
B5,T10,P19,279,control,9,0.0613,0.0196,0.0115,0.0081,11,9,2,T10-P19,0,3,3,0,4,4
B6,T12,P14,313,one,8,0.0156,0.0257,0.0082,0.0175,12,10,2,T12-P14,0,5,5,0,3,3
B2,T4,P14,267,two,3,0.0348,0.0098,0.0025,0.0073,0,0,0,T4-P14,0,0,0,1,0,1
B9,T18,P16,313,one,4,0.0237,0.0111,0.0076,0.0035,7,7,0,T18-P16,1,2,3,0,0,0
B7,T13,P27,270,two,3,0.0093,0.0036,0.0029,0.0007,2,2,0,T13-P27,3,0,3,0,1,1
B3,T5,P25,267,three,10,0.0861,0.0387,0.0076,0.0311,8,2,6,T5-P25,1,1,2,3,1,4
B5,T9,P13,313,one,9,0.0581,0.0142,0.0099,0.0043,12,10,2,T9-P13,0,1,1,0,5,5
B8,T16,P32,279,three,12,0.0782,0.0473,0.0016,0.0457,11,2,9,T16-P32,2,2,4,1,0,1
B7,T13,P29,270,one,3,0.0086,0.0027,NA,0.0027,5,0,5,T13-P29,1,1,2,0,1,1
B5,T10,P8,267,three,10,0.0618,0.0137,0.0043,0.0094,4,3,1,T10-P8,0,1,1,1,2,3
B10,T19,P5,267,two,4,0.0334,0.0127,0.0116,0.0011,14,8,6,T19-P5,0,1,1,0,2,2
B11,T21,P13,279,one,10,0.0999,0.0396,0.0113,0.0283,21,8,13,T21-P13,0,2,2,0,1,1
B2,T3,P17,279,three,7,0.0454,0.0192,0.009,0.0102,4,0,4,T3-P17,0,3,3,0,1,1
B3,T5,P15,276,one,4,0.0304,0.0285,0.0265,0.002,15,14,1,T5-P15,0,1,1,0,3,3
B10,T19,P17,276,two,3,0.0132,0.0063,0.0036,0.0027,2,2,0,T19-P17,0,3,3,0,0,0
B2,T3,P8,270,one,4,0.0234,0.0102,0.0012,0.009,5,0,5,T3-P8,0,2,2,0,0,0
B7,T14,P26,270,one,5,0.0237,0.0058,0.004,0.0018,3,2,1,T14-P26,0,0,0,1,1,2
B8,T16,P10,270,one,4,0.0104,0.0032,0.0032,NA,2,2,0,T16-P10,0,0,0,0,2,2
B10,T20,P22,270,two,3,0.0028,0.0011,NA,0.0011,1,0,1,T20-P22,0,0,0,0,0,0
