"line","exp","type","date","plant","tray","batch","origin","trtdur","high_BM","low_BM","Em1022.root","Em1021.root","water_BM","strep_BM","shoot","tot_BM","Em1022.nod","Em1021.nod","tot_nod","RF","Pal","Pas"
"279","fertilizer","exp","Jan-14","plant077","tray18","batch2","Morocco",23,0.0355,0.0024,NA,NA,NA,NA,0.036,0.0739,NA,NA,NA,0.936675462,NA,NA
"279","fertilizer","exp","Jan-14","plant088","tray22","batch2","Morocco",23,0.0223,0.0012,NA,NA,NA,NA,0.0292,0.0527,NA,NA,NA,0.94893617,NA,NA
"270","fertilizer","exp","Jan-14","plant097","tray24","batch3","Portugal",22,0.009,0.0059,NA,NA,NA,NA,0.0266,0.0415,NA,NA,NA,0.604026846,NA,NA
"270","fertilizer","exp","Jan-14","plant099","tray24","batch3","Portugal",22,0.0188,0.0055,NA,NA,NA,NA,0.0417,0.066,NA,NA,NA,0.773662551,NA,NA
"270","fertilizer","exp","Jan-14","plant107","tray25","batch3","Portugal",22,0.0054,0.0028,NA,NA,NA,NA,0.0245,0.0327,NA,NA,NA,0.658536585,NA,NA
"270","fertilizer","exp","Jan-14","plant113","tray26","batch3","Portugal",22,0.0255,0.0025,NA,NA,NA,NA,0.0409,0.0689,NA,NA,NA,0.910714286,NA,NA
"313","fertilizer","exp","Jan-14","plant129","tray29","batch3","Canada",22,0.0051,0.0032,NA,NA,NA,NA,0.0239,0.0322,NA,NA,NA,0.614457831,NA,NA
"313","fertilizer","exp","Jan-14","plant132","tray29","batch3","Canada",22,0.0037,0.0044,NA,NA,NA,NA,0.0206,0.0287,NA,NA,NA,0.456790123,NA,NA
"313","fertilizer","exp","Jan-14","plant133","tray29","batch3","Canada",22,0.0011,0.0052,NA,NA,NA,NA,0.0121,0.0184,NA,NA,NA,0.174603175,NA,NA
"313","fertilizer","exp","Jan-14","plant136","tray30","batch3","Canada",22,0.0069,0.0042,NA,NA,NA,NA,0.025,0.0361,NA,NA,NA,0.621621622,NA,NA
"313","fertilizer","exp","Jan-14","plant143","tray33","batch3","Canada",22,0.0201,0.0024,NA,NA,NA,NA,0.0335,0.056,NA,NA,NA,0.893333333,NA,NA
"313","fertilizer","exp","Jan-14","plant146","tray33","batch3","Canada",22,0.0018,0.0127,NA,NA,NA,NA,0.0228,0.0373,NA,NA,NA,0.124137931,NA,NA
"313","fertilizer","exp","Jan-14","plant153","tray34","batch3","Canada",22,0.0025,0.0057,NA,NA,NA,NA,0.0172,0.0254,NA,NA,NA,0.304878049,NA,NA
"313","fertilizer","exp","Jan-14","plant154","tray34","batch3","Canada",22,0.0193,0.0061,NA,NA,NA,NA,0.0374,0.0628,NA,NA,NA,0.75984252,NA,NA
"267","fertilizer","exp","Jan-14","plant165","tray35","batch4","Algeria",24,0.0023,0.0039,NA,NA,NA,NA,0.0145,0.0207,NA,NA,NA,0.370967742,NA,NA
"267","fertilizer","exp","Jan-14","plant167","tray35","batch4","Algeria",24,0.0036,0.009,NA,NA,NA,NA,0.0236,0.0362,NA,NA,NA,0.285714286,NA,NA
"267","fertilizer","exp","Jan-14","plant168","tray35","batch4","Algeria",24,0.022,0.0023,NA,NA,NA,NA,0.0345,0.0588,NA,NA,NA,0.905349794,NA,NA
"276","fertilizer","exp","Jan-14","plant171","tray36","batch4","Algeria",24,0.0168,0.0158,NA,NA,NA,NA,0.0369,0.0695,NA,NA,NA,0.515337423,NA,NA
"267","fertilizer","exp","Jan-14","plant181","tray36","batch4","Algeria",24,0.0148,0.0013,NA,NA,NA,NA,0.0267,0.0428,NA,NA,NA,0.919254658,NA,NA
"267","fertilizer","exp","Jan-14","plant182","tray36","batch4","Algeria",24,0.0036,0.004,NA,NA,NA,NA,0.019,0.0266,NA,NA,NA,0.473684211,NA,NA
"267","fertilizer","exp","Jan-14","plant193","tray38","batch4","Algeria",24,0.0062,0.0016,NA,NA,NA,NA,0.0166,0.0244,NA,NA,NA,0.794871795,NA,NA
"267","fertilizer","exp","Jan-14","plant195","tray38","batch4","Algeria",24,0.0135,0.0055,NA,NA,NA,NA,0.0312,0.0502,NA,NA,NA,0.710526316,NA,NA
"267","fertilizer","exp","Jan-14","plant198","tray38","batch4","Algeria",24,0.0042,0.0221,NA,NA,NA,NA,0.0282,0.0545,NA,NA,NA,0.159695817,NA,NA
"267","fertilizer","exp","Jan-14","plant209","tray39","batch4","Algeria",24,0.0042,0.0014,NA,NA,NA,NA,0.0157,0.0213,NA,NA,NA,0.75,NA,NA
"267","fertilizer","exp","Jan-14","plant211","tray39","batch4","Algeria",24,0.0085,0.0059,NA,NA,NA,NA,0.0265,0.0409,NA,NA,NA,0.590277778,NA,NA
"267","fertilizer","exp","Jan-14","plant213","tray39","batch4","Algeria",24,0.009,0.0052,NA,NA,NA,NA,0.0254,0.0396,NA,NA,NA,0.633802817,NA,NA
"267","fertilizer","exp","Jan-14","plant216","tray39","batch4","Algeria",24,0.024,0.0045,NA,NA,NA,NA,0.0378,0.0663,NA,NA,NA,0.842105263,NA,NA
