"line","exp","type","date","plant","tray","batch","origin","trtdur","high_BM","low_BM","Em1022.root","Em1021.root","water_BM","strep_BM","shoot","tot_BM","Em1022.nod","Em1021.nod","tot_nod","RF","Pal","Pas"
"279","rhizobia","exp","Jan-15","plant320","tray1","batch1","Morocco",23,NA,NA,0.0056,0.0223,NA,NA,0.0523,0.0802,7,6,13,NA,0.200716846,0.538461538
"279","rhizobia","exp","Jan-15","plant322","tray1","batch1","Morocco",23,NA,NA,0.041,0.0169,NA,NA,0.0615,0.1194,11,11,22,NA,0.708117444,0.5
"279","rhizobia","exp","Jan-15","plant323","tray1","batch1","Morocco",23,NA,NA,0.0042,0.017,NA,NA,0.032,0.0532,6,6,12,NA,0.198113208,0.5
"279","rhizobia","exp","Jan-15","plant324","tray1","batch1","Morocco",23,NA,NA,0.0105,0.0384,NA,NA,0.0449,0.0938,13,5,18,NA,0.214723926,0.722222222
"279","rhizobia","exp","Jan-15","plant360","tray2","batch1","Morocco",23,NA,NA,0.0106,0.0343,NA,NA,0.0489,0.0938,5,14,19,NA,0.236080178,0.263157895
"279","rhizobia","exp","Jan-15","plant361","tray2","batch1","Morocco",23,NA,NA,0.0189,0.0324,NA,NA,0.0395,0.0908,5,4,9,NA,0.368421053,0.555555556
"279","rhizobia","exp","Jan-15","plant362","tray2","batch1","Morocco",23,NA,NA,0.0107,0.0187,NA,NA,0.0471,0.0765,9,5,14,NA,0.363945578,0.642857143
"279","rhizobia","exp","Jan-15","plant366","tray2","batch1","Morocco",23,NA,NA,0.0029,0.0188,NA,NA,0.0336,0.0553,7,9,16,NA,0.133640553,0.4375
"279","rhizobia","exp","Jan-15","plant367","tray2","batch1","Morocco",23,NA,NA,0.006,0.0203,NA,NA,0.0377,0.064,8,16,24,NA,0.228136882,0.333333333
"279","rhizobia","exp","Jan-15","plant372","tray3","batch1","Morocco",23,NA,NA,0.0061,0.0232,NA,NA,0.0442,0.0735,5,8,13,NA,0.208191126,0.384615385
"279","rhizobia","exp","Jan-15","plant373","tray3","batch1","Morocco",23,NA,NA,0.0301,0.0234,NA,NA,0.04195,0.09545,5,2,7,NA,0.562616822,0.714285714
"279","rhizobia","exp","Jan-15","plant374","tray3","batch1","Morocco",23,NA,NA,0.0119,0.0234,NA,NA,0.0319,0.0672,7,2,9,NA,0.337110482,0.777777778
"279","rhizobia","exp","Jan-15","plant378","tray3","batch1","Morocco",23,NA,NA,0.0077,0.0328,NA,NA,0.0498,0.0903,2,16,18,NA,0.190123457,0.111111111
"279","rhizobia","exp","Jan-15","plant379","tray3","batch1","Morocco",23,NA,NA,0.0295,0.0163,NA,NA,0.0325,0.0783,6,2,8,NA,0.644104803,0.75
"267","rhizobia","exp","Jan-15","plant432","tray19","batch2","Algeria",29,NA,NA,0.0027,0.0552,NA,NA,0.0571,0.115,6,1,7,NA,0.046632124,0.857142857
"267","rhizobia","exp","Jan-15","plant433","tray19","batch2","Algeria",29,NA,NA,0.018,0.0215,NA,NA,0.051,0.0905,9,1,10,NA,0.455696203,0.9
"267","rhizobia","exp","Jan-15","plant438","tray19","batch2","Algeria",29,NA,NA,0.018,0.0355,NA,NA,0.0533,0.1068,5,2,7,NA,0.336448598,0.714285714
"267","rhizobia","exp","Jan-15","plant439","tray19","batch2","Algeria",29,NA,NA,0.0177,0.0477,NA,NA,0.0337,0.0991,10,3,13,NA,0.270642202,0.769230769
"267","rhizobia","exp","Jan-15","plant444","tray20","batch2","Algeria",29,NA,NA,0.0405,0.0041,NA,NA,0.0478,0.0924,7,1,8,NA,0.908071749,0.875
"276","rhizobia","exp","Jun-14","plant588","tray26","batch4","Algeria",29,NA,NA,0.004,0.0297,NA,NA,0.0371,0.0708,1,3,4,NA,0.118694362,0.25
"270","rhizobia","exp","Jun-14","plant589","tray26","batch4","Portugal",28,NA,NA,0.004,0.0039,NA,NA,0.0206,0.0285,1,2,3,NA,0.506329114,0.333333333
"276","rhizobia","exp","Jun-14","plant596","tray29","batch4","Algeria",29,NA,NA,0.0016,0.0086,NA,NA,0.0249,0.0351,2,4,6,NA,0.156862745,0.333333333
"270","rhizobia","exp","Jun-14","plant597","tray29","batch4","Portugal",28,NA,NA,0.0016,0.0166,NA,NA,0.0247,0.0429,4,9,13,NA,0.087912088,0.307692308
"276","rhizobia","exp","Jun-14","plant599","tray29","batch4","Algeria",29,NA,NA,0.006,0.0226,NA,NA,0.0457,0.0743,3,3,6,NA,0.20979021,0.5
"313","rhizobia","exp","Jun-14","plant614","tray33","batch4","Canada",26,NA,NA,0.0097,0.0068,NA,NA,0.0476,0.0641,14,1,15,NA,0.587878788,0.933333333
"313","rhizobia","exp","Jun-14","plant616","tray34","batch4","Canada",26,NA,NA,0.0195,0.0153,NA,NA,0.0807,0.1155,17,1,18,NA,0.560344828,0.944444444
"313","rhizobia","exp","Jun-14","plant621","tray34","batch4","Canada",26,NA,NA,0.0136,0.0073,NA,NA,0.0735,0.0944,16,1,17,NA,0.650717703,0.941176471
